"Status","Name","Duration in ms","Description"
"passed","JSCS.app/code/Magento/Catalog/view/adminhtml/web/js/components/visible-on-option/select.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\AdminNotification\Model\ResourceModel\Inbox\Collection\Unread""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\SalesRule\Api\RuleRepositoryInterface""","0",""
"passed","Magento\Test\Integrity\Magento\Payment\Model\ConfigTest.testFileSchemaUsingInvalidXml","1",""
"passed","JSCS.app/code/Magento/Catalog/view/adminhtml/web/js/components/visible-on-option/fieldset.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Sales\Model\Order\InvoiceDocumentFactory""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Backend\Model\Menu\Config\SchemaLocator""","0",""
"passed","JSCS.app/code/Magento/Catalog/view/frontend/web/js/product/query-builder.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Framework\Data\Form\FormKey\Validator""","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Braintree/view/frontend/layout/vault_cards_listaction.xml""","0",""
"passed","JSCS.app/code/Magento/SalesRule/view/frontend/web/js/model/payment/discount-messages.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Weee/view/frontend/layout/sales_order_item_price.xml""","1",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Developer\Model\View\Asset\PreProcessor\PreprocessorStrategy""","0",""
"passed","JSCS.dev/tests/js/jasmine/tests/lib/mage/scripts.test.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllBlocksReferencedInLayoutArePublic with data set ""app/code/Magento/Authorizenet/view/frontend/layout/authorizenet_directpost_payment_response.xml""","0",""
"passed","JSCS.dev/tests/js/jasmine/tests/app/code/Magento/Ui/base/js/form/element/color-picker.test.js","0",""
"passed","Magento\Test\Integrity\PublicCodeTest.testAllPHPClassesReferencedFromPublicClassesArePublic with data set ""Magento\Backend\Model\Menu\Director\Director""","0",""
